onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0256	1	10	1	1114.2	1	6	4	0	1	0	1	0.15	19171	16137	17251
4.0597	1	30	-99	-99	1	6	4	0	1	0	1	0.15	19171	16137	17251
7.4089	1	10	1	946.9	1	5	7	1	1	0	2	0.15	25869	22520	23467
10.758	1	31	-99	-99	1	5	7	1	1	0	2	0.15	25869	22520	23467
14.0574	1	10	1	826.5	1	6	3	0	1	0	3	0.15	31921	29169	29995
16.8097	1	30	-99	-99	1	6	3	0	1	0	3	0.15	31921	29169	29995
19.4127	1	10	3	871.1	1	8	2	1	3	0	4	0.15	37077	34524	35395
21.9661	1	31	-99	-99	1	8	2	1	3	0	4	0.15	37077	34524	35395
25.481	1	10	2	4682.8	1	6	4	1	2	0	5	0.15	46793	40592	45275
31.6819	1	31	-99	-99	1	6	4	1	2	0	5	0.15	46793	40592	45275
34.5668	1	10	2	1981	1	2	8	0	2	0	6	0.15	53575	49678	51659
38.4631	1	30	-99	-99	1	2	8	0	2	0	6	0.15	53575	49678	51659
41.0496	1	10	1	1090.2	1	7	7	0	1	0	7	0.15	59295	56161	57251
44.1832	1	30	-99	-99	1	7	7	0	1	0	7	0.15	59295	56161	57251
47.6982	1	10	1	1793.7	1	6	8	0	1	0	8	0.15	66988	62810	64603
51.8763	1	30	-99	-99	1	6	8	0	1	0	8	0.15	66988	62810	64603
55.3415	1	10	2	1926.3	1	5	5	0	2	0	9	0.15	74581	70453	72379
59.4699	1	30	-99	-99	1	5	5	0	2	0	9	0.15	74581	70453	72379
62.1559	1	10	2	4599.9	1	2	8	1	2	0	10	0.15	83999	77267	81867
68.8874	1	31	-99	-99	1	2	8	1	2	0	10	0.15	83999	77267	81867
71.6396	1	10	2	2452.2	1	5	7	1	2	0	11	0.15	91526	86751	89203
76.4147	1	31	-99	-99	1	5	7	1	2	0	11	0.15	91526	86751	89203
79.5317	1	10	1	992.1	1	6	4	0	1	0	12	0.15	97379	94643	95635
82.2674	1	30	-99	-99	1	6	4	0	1	0	12	0.15	97379	94643	95635
85.716	1	10	1	743.8	1	2	3	1	1	0	13	0.15	103646	100827	101571
88.5346	1	31	-99	-99	1	2	3	1	1	0	13	0.15	103646	100827	101571
91.2371	1	10	2	3774.8	1	8	2	1	2	0	14	0.15	112284	106349	110123
97.1728	1	31	-99	-99	1	8	2	1	2	0	14	0.15	112284	106349	110123
100.2566	1	10	1	1363.2	1	7	7	0	1	0	15	0.15	118833	115368	116731
103.7218	1	30	-99	-99	1	7	7	0	1	0	15	0.15	118833	115368	116731
107.0213	1	10	2	2302.5	1	5	7	1	2	0	16	0.15	126460	122133	124435
111.3486	1	31	-99	-99	1	5	7	1	2	0	16	0.15	126460	122133	124435
114.2501	1	10	1	1433.8	1	7	2	0	1	0	17	0.15	133158	129362	130795
118.0469	1	30	-99	-99	1	7	2	0	1	0	17	0.15	133158	129362	130795
121.0645	1	10	2	3043.3	1	6	3	0	2	0	18	0.15	141382	136176	139219
126.2706	1	30	-99	-99	1	6	3	0	2	0	18	0.15	141382	136176	139219
129.1389	1	10	1	1185	1	8	8	1	1	1	19	0.85	147251	144250	145435
132.1399	1	31	-99	-99	1	8	8	1	1	1	19	0.85	147251	144250	145435
134.9585	1	10	1	2549.3	1	4	2	1	1	1	20	0.85	154182	150070	152619
139.0703	1	31	-99	-99	1	4	2	1	1	1	20	0.85	154182	150070	152619
141.8226	1	10	2	3453.3	1	3	3	0	2	1	21	0.85	162372	156934	160387
147.2608	1	30	-99	-99	1	3	3	0	2	1	21	0.85	162372	156934	160387
150.0794	1	10	2	1556.5	1	8	5	0	2	1	22	0.85	168440	165191	166747
153.3291	1	30	-99	-99	1	8	5	0	2	1	22	0.85	168440	165191	166747
156.413	1	10	1	1734.9	1	3	5	1	1	1	23	0.85	175404	171524	173259
160.2927	1	31	-99	-99	1	3	5	1	1	1	23	0.85	175404	171524	173259
163.3931	1	10	1	1458.8	1	3	4	1	1	1	24	0.85	181622	178505	179963
166.5102	1	31	-99	-99	1	3	4	1	1	1	24	0.85	181622	178505	179963
169.1795	1	10	1	6544.4	1	7	2	1	1	1	25	0.85	193194	184291	190835
178.083	1	31	-99	-99	1	7	2	1	1	1	25	0.85	193194	184291	190835
181.2995	1	10	2	4392.4	1	3	5	0	2	1	26	0.85	202860	196411	200803
187.7491	1	30	-99	-99	1	3	5	0	2	1	26	0.85	202860	196411	200803
190.6008	1	10	1	3299.1	1	6	7	1	1	1	27	0.85	210554	205712	209011
195.4422	1	31	-99	-99	1	6	7	1	1	1	27	0.85	210554	205712	209011
198.2442	1	10	2	3983.7	1	2	3	0	2	1	28	0.85	218877	213356	217339
203.7653	1	30	-99	-99	1	2	3	0	2	1	28	0.85	218877	213356	217339
206.5508	1	10	1	1589.1	1	6	6	1	1	1	29	0.85	225343	221662	223251
210.2315	1	31	-99	-99	1	6	6	1	1	1	29	0.85	225343	221662	223251
213.4978	1	10	2	1378.1	1	5	5	0	2	1	30	0.85	232008	228609	229987
216.8967	1	30	3	3275.2	1	5	5	0	2	1	30	0.85	232008	228609	229987
221.1909	1	10	2	2109	1	4	3	1	2	0	31	0.25	240016	236302	238411
224.9048	1	31	-99	-99	1	4	3	1	2	0	31	0.25	240016	236302	238411
228.0881	1	10	2	1083.8	1	4	3	1	2	0	32	0.25	246250	243200	244283
231.1389	1	31	-99	-99	1	4	3	1	2	0	32	0.25	246250	243200	244283
234.6041	1	10	2	1575.8	1	2	6	1	2	0	33	0.25	253695	249715	251291
238.5832	1	31	-99	-99	1	2	6	1	2	0	33	0.25	253695	249715	251291
241.4184	1	10	2	729.5	1	2	6	1	2	0	34	0.25	258884	256530	257259
243.7728	1	31	-99	-99	1	2	6	1	2	0	34	0.25	258884	256530	257259
247.0059	1	10	1	2350	1	4	5	0	1	0	35	0.25	266693	262117	264467
251.5819	1	30	-99	-99	1	4	5	0	1	0	35	0.25	266693	262117	264467
254.3508	1	10	1	1869.1	1	5	7	1	1	0	36	0.25	273077	269462	271331
257.9652	1	31	-99	-99	1	5	7	1	1	0	36	0.25	273077	269462	271331
260.6512	1	10	1	1416.7	1	6	8	0	1	0	37	0.25	279476	275763	277179
264.3651	1	30	-99	-99	1	6	8	0	1	0	37	0.25	279476	275763	277179
267.4655	1	10	2	1858.4	1	2	2	1	2	0	38	0.25	286357	282577	284435
271.2458	1	31	-99	-99	1	2	2	1	2	0	38	0.25	286357	282577	284435
274.7607	1	10	1	1803.2	1	2	7	1	1	0	39	0.25	293686	289872	291675
278.5741	1	31	-99	-99	1	2	7	1	1	0	39	0.25	293686	289872	291675
281.2103	1	10	1	5057.6	1	5	7	0	1	0	40	0.25	303219	296322	301379
288.1076	1	30	-99	-99	1	5	7	0	1	0	40	0.25	303219	296322	301379
291.092	1	10	2	2695.9	1	2	3	1	2	0	41	0.25	310746	306203	308899
295.6349	1	31	-99	-99	1	2	3	1	2	0	41	0.25	310746	306203	308899
298.5695	1	10	2	778.4	1	2	7	1	2	0	42	0.25	316798	313681	314459
301.6866	1	31	-99	-99	1	2	7	1	2	0	42	0.25	316798	313681	314459
305.0523	1	10	1	863.6	1	3	6	1	1	0	43	0.25	322817	320164	321027
307.7051	1	31	-99	-99	1	3	6	1	1	0	43	0.25	322817	320164	321027
